Date,Price,Open,High,Low,Vol.,Change %
06/22/2023,"9,050","9,125","9,150","9,050",48.29M,-0.82%
06/21/2023,"9,125","9,050","9,125","9,000",43.38M,0.83%
06/20/2023,"9,050","9,025","9,050","8,950",54.99M,0.56%
06/19/2023,"9,000","9,000","9,050","9,000",32.33M,-0.55%
06/16/2023,"9,050","9,100","9,100","8,975",112.77M,0.00%
06/15/2023,"9,050","9,100","9,100","9,050",59.07M,-0.28%
06/14/2023,"9,075","9,100","9,125","9,050",72.22M,-0.82%
06/13/2023,"9,150","9,175","9,175","9,100",45.55M,0.00%
06/12/2023,"9,150","9,150","9,150","9,100",38.08M,0.55%
06/09/2023,"9,100","9,175","9,175","9,100",44.65M,-0.27%
06/08/2023,"9,125","9,075","9,125","9,075",53.19M,0.27%
06/07/2023,"9,100","9,125","9,175","9,075",66.81M,-0.55%
06/06/2023,"9,150","9,050","9,200","9,050",74.87M,-0.54%
06/05/2023,"9,200","9,150","9,325","9,100",163.54M,1.66%
05/31/2023,"9,050","9,300","9,325","9,050",421.02M,-2.16%
05/30/2023,"9,250","9,200","9,325","9,150",111.13M,1.09%
05/29/2023,"9,150","9,250","9,250","9,075",79.15M,0.00%
05/26/2023,"9,150","9,175","9,200","9,100",55.68M,1.10%
05/25/2023,"9,050","9,100","9,150","9,050",62.06M,0.28%
05/24/2023,"9,025","9,200","9,200","9,025",64.85M,-1.10%
05/23/2023,"9,125","9,050","9,150","9,025",87.74M,1.39%
05/22/2023,"9,000","9,000","9,075","8,925",91.00M,0.00%
05/19/2023,"9,000","8,900","9,000","8,825",105.99M,2.56%
05/17/2023,"8,775","8,775","8,850","8,750",70.01M,0.86%
05/16/2023,"8,700","8,800","8,825","8,700",57.84M,-0.85%
05/15/2023,"8,775","8,875","8,875","8,725",50.79M,-0.28%
05/12/2023,"8,800","8,750","8,875","8,725",79.77M,-0.28%
05/11/2023,"8,825","8,900","8,900","8,800",82.00M,-1.12%
05/10/2023,"8,925","8,925","8,950","8,900",45.50M,0.00%
05/09/2023,"8,925","8,950","8,975","8,900",42.05M,-0.83%
05/08/2023,"9,000","9,000","9,075","8,950",84.75M,0.00%
05/05/2023,"9,000","9,000","9,050","8,950",55.56M,0.00%
05/04/2023,"9,000","8,925","9,025","8,875",59.66M,0.84%
05/03/2023,"8,925","9,050","9,050","8,875",69.75M,-1.38%
05/02/2023,"9,050","9,100","9,100","8,900",105.73M,0.00%
04/28/2023,"9,050","9,100","9,125","9,050",145.78M,-1.09%
04/27/2023,"9,150","9,100","9,175","9,075",66.13M,-0.54%
04/26/2023,"9,200","9,125","9,200","9,000",186.93M,0.82%
04/18/2023,"9,125","9,050","9,175","9,025",91.24M,1.11%
